text,label
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,2
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,2
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,2
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,2
2U downgraded to sector weight from overweight at KeyBanc Capital,2
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,2
AMC Networks price target cut to $35 from $39 at Imperial Capital,2
American Software downgraded to neutral from buy at B. Riley FBR,2
Analysts question Silicon Motion's margin outlook,2
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,2
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,2
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,2
AT&T shares sink after MoffettNathanson downgrade,2
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",2
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,2
Autodesk downgraded to underweight from neutral at JPMorgan,2
BAML warns of profit pressure for Hormel,2
Barclays cools on Molson Coors,2
Becton Dickinson downgraded to outperform from strong buy at Raymond James,2
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,2
Berry Petroleum downgraded to market perform from outperform at BMO Capital,2
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,2
Bluebird bio downgraded to in line from outperform at Evercore ISI,2
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,2
Canada Goose downgraded to buy from strong buy at CFRA,2
Canada Goose stock price target cut to $50 from $65 at CFRA,2
Children's Place downgraded as e-commerce puts margins at risk,2
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,2
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,2
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,2
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,2
"Dell, HPE targets trimmed on compute headwinds",2
Dish may not be key winner amid Intelsat woes - analyst,2
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,2
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,2
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,2
Dropbox on watch after stinging Spruce Point report,2
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",2
Evercore downgrades bluebird bio and Clovis in premarket analyst action,2
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",2
Forescout downgraded to neutral from buy at Monness Crespi Hardt,2
FormFactor cut on 'unsustainable' revenue outlook,2
Funko downgraded to hold from buy at Stifel Nicolaus,2
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,2
GM stock price target cut to $30 from $32 at Deutsche Bank,2
Grubhub gains a bear on margin view,2
H&P downgraded at Argus as drilling industry weakness seen persisting,2
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,2
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,2
Hexo stock price target cut to C$5 from C$6 at MKM Partners,2
Home Depot stock price target cut to $237 from $240 at Instinet,2
Intelsat downgraded to underweight from neutral at J.P. Morgan,2
Intelsat lower after Morgan Stanley target cut,2
Jefferies warns on L Brands,2
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,2
Kohl's stock price target cut to $50 from $53 at Wedbush,2
L Brands stock price target cut to $16 from $20 at Wedbush,2
Lovesac stock price target cut to $28 vs. $33 at Canaccord,2
Lyft stock price target cut to $58 from $70 at Deutsche Bank,2
Macerich downgraded to underweight from sector weight at KeyBanc Capital,2
Marinus Pharma stock price target cut to $6 from $7 at Leerink,2
Methanex downgraded at TD Securities on valuation,2
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,2
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,2
Mitek Systems stock price target cut to $11 from $14 at Benchmark,2
Napco Security stock price target cut to $30 from $35 at Imperial Capital,2
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,2
Netflix downgraded to ‘underperform’ at Needham,2
Netflix stock falls after Wells Fargo turns bearish,2
New Netflix bear steps out,2
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",2
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,2
Novo Nordisk downgraded by UBS on concerns over drug launch cost,2
Oppenheimer cuts estimates on Yum China,2
Orbcomm price target lowered to $9 at Canaccord,2
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,2
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,2
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,2
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,2
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",2
Royal Caribbean downgraded to sell from buy at CFRA,2
Royal Caribbean stock price target cut to $100 from $135 at CFRA,2
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,2
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,2
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,2
Sirius downgraded on valuation,2
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,2
SunTrust latest to trim Nielsen target,2
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,2
Take-Two downgraded on murky game slate,2
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,2
Target Hospitality downgraded to perform from outperform at Oppenheimer,2
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,2
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",2
Transocean started at sell with $3 stock price target at Deutsche Bank,2
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,2
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,2
Wells Fargo Downgrades Netflix On Spending Concerns,2
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",2
Welltower stock price target cut to $90 from $95 at J.P. Morgan,2
WWE stock price target cut to $57 from $79 at Benchmark,2
$ALTG: Dougherty & Company starts at Buy,1
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1
$ANCUF: BMO Capital Markets ups to Outperform,1
$BHE: Lake Street starts at Buy,1
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1
$GBT: Cantor Fitzgerald resumes at Overweight,1
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1
$GOOS: Barclays starts at Overweight,1
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1
$JD: Barclays ups to Overweight,1
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1
$KIM: Compass Point ups to Neutral,1
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1
$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,1
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1
$NBY Rated buy https://t.co/xWbLXU1yOY,1
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1
$OYST: Cowen starts at Outperform,1
$RAPT: BMO Capital Markets starts at Outperform,1
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,1
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,1
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,1
$STXS: Lake Street starts at Buy,1
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,1
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",1
$WABC: Maxim Group ups to Buy,1
$WRI: Compass Point ups to Buy,1
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,1
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",1
Adobe stock price target raised to $315 vs. $290 at Wedbush,1
Adobe stock price target raised to $318 vs. $310 at Instinet,1
Aegis Capital positive on Netflix usage trend,1
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",1
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1
Allergan upgraded to buy from neutral at UBS,1
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",1
Analyst: AT&T Is The Top Telecom Pick For 2020,1
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1
Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1
Ansys stock price target raised to $265 from $235 at Benchmark,1
Anthem stock price target raised to $330 from $300 at SunTrust RH,1
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1
arGen-X stock price target raised to $255 vs. $203 at Instinet,1
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",1
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1
Baird bullish on beat-up Canada Goose,1
Baird likes drug wholesalers in premarket analyst action,1
Baird returns to Wingstop bull camp,1
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1
Bank of America stock price target raised to $49 from $48 at Oppenheimer,1
Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,1
"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",1
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,1
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1
Benchmark says this roof supplier is a Buy,1
Bernstein turns bullish on VMware's valuation,1
Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,1
Best Buy stock price target raised to $105 from $86 at Oppenheimer,1
Biogen stock price target raised to $392 from $320 at Instinet,1
Biogen stock price target raised to $410 from $350 at SVB Leerink,1
Boeing stock price target raised to $427 from $406 at CFRA,1
"BofA Upgrades WestRock After Containerboard Conference, London Pulp Week",1
"Bouygues SA Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1
BTIG expects Domino's to boost buybacks,1
BTIG sees 'material improvement' to Ocwen book value,1
"Bull sees 2020 upsides for MU, WDC",1
Cabot upgraded to buy from neutral at UBS,1
"Canada Goose upgraded to outperform from neutral at Baird, price target C$53",1
Capital Southwest initiated at outperform at Raymond James with $23.50 price target,1
Celanese stock price target raised to $120 vs. $111 at BofA Merrill Lynch,1
CF Industries stock price target raised to $56 vs. $52 at BofA Merrill Lynch,1
CF Industries upgraded to buy vs. neutral at BofA Merrill Lynch,1
Ciena stock price target raised to $47 vs. $43 at Instinet,1
Citi gives big boost to Deere PT,1
Citi reels in PT on Nu Skin,1
"CITRON SAYS IT'S LONG ON LUCKIN COFFEE

MW vs CItron",1
CNH Industrial upped to Buy at Deutsche Bank on valuation,1
Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,1
Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,1
CSX stock price target raised to $90 from $72 at Deutsche Bank,1
CSX upgraded to buy from hold at Deutsche Bank,1
CVS Health stock price target raised to $90 from $85 at SunTrust RH,1
CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,1
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,1
DLH Holdings maintained as buy with $7 price target at Canaccord,1
Domtar upgraded to market perform at BMO Capital,1
Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,1
"Earnings Update: Here's Why Analysts Just Lifted Their Aemetis, Inc. Price Target To US$2.25",1
Earnings Update: Here's Why Analysts Just Lifted Their Milestone Scientific Inc. Price Target To US$2.00,1
"Earnings Update: Here's Why Analysts Just Lifted Their Skyworks Solutions, Inc. Price Target To US$104",1
Eastman Chemical stock price target raised to $85 vs. $82 at BofA Merrill Lynch,1
Edgewell stock price target raised to $41 from $33 at CFRA,1
Elastic upgraded to buy from hold at Canaccord Genuity,1
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",1
"Energizer Holdings upgraded to neutral from underweight at JP Morgan, price target lifted to $51 from $41",1
Energizer shakes off JPMorgan's bear call,1
Equity Lifestyle Properties upgraded to outperform at BMO Capital,1
Estee Lauder stock price target raised to $238 from $202 at Raymond James,1
Etsy initiated as buy with $55 price target at SunTrust Robinson Humphrey,1
FedEx stock price target raised to $168 from $163 at BofA Securities,1
FleetCor stock price target raised to $325 from $310 at CFRA,1
Ford's electric SUV impresses Credit Suisse,1
Fortinet stock price target raised to $115 from $104 at BMO Capital,1
Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,1
"Glenmark Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1
Goldman adds Workday to conviction list; shares +1%,1
"Goldman Says 36,000% Rally in Brazilian Retailer Has Room to Run",1
GrubHub stock price target raised to $40 from $34 at Oppenheimer,1
GrubHub stock price target raised to $60 from $30 at Susquehanna,1
Hasbro upgraded on earnings growth potential from Entertainment One acquisition,1
"Hasbro upgraded to buy from neutral at UBS, price target $117",1
Heat Biologics started at buy with $1 stock price target at Maxim Group,1
"Home Depot upgraded to outperform from neutral at Credit Suisse, price target raised to $235 from $225",1
Humana stock price target raised to $363 from $319 at Deutsche Bank,1
Huntsman named Conviction Buy at Goldman in chemical sector shuffle,1
Intel stock price target raised to $62 vs. $60 at SunTrust Robinson Humphrey,1
Intercept Pharmaceuticals maintained as buy with $165 price target at Canaccord,1
Invitae Corp. maintained as buy at Benchmark,1
J.C. Penney stock price target raised to $1.00 from 80 cents at B. Riley FBR,1
Jabil stock price target raised to $47 from $36 at CFRA,1
Jefferies analysts lifted Tesla $TSLA shares to buy while paring the price target 19%. https://t.co/BJhXfQuRTd,1
JPMorgan likes Bausch Health in premarket analyst action,1
JPMorgan out bullish on Uber's upside potential,1
Kilroy Realty upgraded to overweight from sector weight at KeyBanc Capital,1
L3Harris started at buy with $280 stock price target at Benchmark,1
Lagging MLP upgraded at Goldman as new projects seen lifting cash flows,1
Ligand Pharmaceuticals started at buy with $135 stock price target at Benchmark,1
Lovesac maintained as buy at Canaccord,1
Lululemon stock price target raised to $260 vs. $222 at Susquehanna,1
Lyft stock gets an upgrade due to competitive positioning,1
LyondellBasell sock price target raised to $107 vs. $99 at BofA Merrill Lynch,1
Magnolia Oil & Gas started at overweight with $14 stock price target at KeyBanc Capital,1
Mesa Air reiterated as outperform at Cowen,1
Microchip Technology stock price target raised to $113 vs. $106 at SunTrust Robinson Humphrey,1
Mizuho raises Intel on aggressive price cuts,1
Molina Healthcare stock price target raised to $165 from $155 at SunTrust RH,1
Morgan Stanley analyst Joseph Moore upgraded NVIDIA (NASDAQ: $NVDA) from Equalweight to Overweight with a price tar… https://t.co/NVjiO6Brwb,1
Morgan Stanley bullish on Eldorado Resorts ahead of Caesars combination,1
Morgan Stanley joins mortgage sector bulls,1
Morgan Stanley Raises Fortinet's Price Target After Bullish Analyst Day,1
Morgan Stanley upgrades NVIDIA $NVDA from Equal-Weight to Overweight and announces $259 price target.,1
"Morgan Stanley upgrades Nvidia to buy, predicting 2020 will be 'a return to solid growth' https://t.co/9gTGxKbSGj",1
"Munster Doubles Down, Says Apple Has 40% Upside This Year",1
New bull sees 22% upside for Splunk,1
New for subscribers:  Morgan Stanley adds Amazon to its list of favorite stocks. Here are the rest... https://t.co/QbgS6IQXRt,1
Newmont Goldcorp stock price target raised to $41.50 from $39.50 at B. Riley FBR,1
NLight target raised on Nutronics deal,1
Nokia stock price target raised to $6.00 from $5.50 at MKM Partners,1
Nuvasive upgraded to outperform vs market perform at Leerink,1
"Nvidia Has One Of The Best Opportunities To Maintain High Multiple, Morgan Stanley Says In Upgrade",1
Nvidia stock climbs after Morgan Stanley turns bullish,1
NXP Semiconductors stock price target raised to $139 vs. $128 at SunTrust Robinson Humphrey,1
Olin Corp. stock price target raised to $23 vs. $22 at BofA Merrill Lynch,1
"One analyst says TD could unlock ""significant value"" by selling its minority stake in Ameritrade after its purchase… https://t.co/swy7IVNnQE",1
Onto Innovation stock price target raised to $50 from $40 at Benchmark,1
Owens Corning upgraded at Wells after raising residential insulation prices,1
"Owens Corning Upgraded On Strong Insulation, Roofing Potential",1
Oyster Point Pharma initiated at overweight with $26 price target at JP Morgan,1
"Paul Tudor Jones Sees the Potential for a Stock Market Explosion, to the Upside",1
PennMac Financial rises to record as Piper gets more bullish,1
Piper likes DexCom in premarket analyst action,1
"Pixelworks, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",1
PPG Industries stock price target raised to $113 vs. $105 at BofA Merrill Lynch,1
Prothena upgraded to outperform from in line at Evercore ISI,1
Purple Innovation initiated at overweight with $12 price target at KeyBanc Capital,1
Quanterix maintained as outperform with $35 price target at Leerink,1
Results: KLA Corporation Beat Earnings Expectations And Analysts Now Have New Forecasts,1
RPM International stock price target raised to $79 vs. $75 at BofA Merrill Lynch,1
S&P Global stock price target raised to $322 from $274 at Stifel Nicolaus,1
Sanderson Farms stock price target raised to $159 from $150 at J.P. Morgan,1
Schlumberger started at buy with $42 stock price target at Deutsche Bank,1
Selvaag Bolig ASA Just Beat Earnings Expectations: Here's What Analysts Think Will Happen Next,1
"SoftBank will have the ""last laugh"" with WeWork deal, one Bernstein analyst says https://t.co/qmfAPKICdp",1
Sonoma Pharma maintained as buy with $9 price target at Benchmark,1
Splunk upgraded to overweight at Morgan Stanley,1
"Starbucks Stock Is a Buy, According to This Investment Bank",1
Starbucks upgraded to overweight at J.P. Morgan after meeting with executives,1
"Stifel Upgrades Parker-Hannifin On Potential Synergies, Industry Recovery Prospects",1
"Stifel Upgrades Wendy's, Bullish On Breakfast And Digital Prospects",1
"Syanptics raised on forecast, margin strength",1
Synaptics stock price target raised to $40 from $32 at J.P. Morgan,1
"Synopsys upgraded to overweight from neutral at JPMorgan, price target raised to $160 from $157",1
TE Connectivity stock price target raised to $95 vs. $94 at SunTrust Robinson Humphrey,1
Teekay Tankers upped two notches to Buy at BAML,1
Texas Instruments stock price target raised to $125 vs. $122 at SunTrust Robinson Humphrey,1
Twitter stock price target raised to $36.50 from $34.50 at Wedbush,1
Twitter stock price target raised to $38 from $36 at SunTrust RH,1
Twitter stock price target raised to $47 from $34 at Susquehanna,1
"Twitter, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",1
U.S. Well Services initiated at buy with $3.50 price target at Stifel,1
Uber stock price target raised to $45 from $34 at MKM Partners,1
Uber stock price target raised to $49 from $47 at BofA Securities,1
Uber stock price target raised to $50 from $45 at Oppenheimer,1
Uber stock price target raised to $52 from $50 at Wedbush,1
Uber stock price target raised to $54 from $50 at Deutsche Bank,1
UBS raises Peloton’s price target to $40,1
UBS upgrades Hasbro on strong sales of Frozen II dolls into Black Friday https://t.co/23HWM60K7q,1
UDR upgraded to overweight from sector weight at KeyBanc Capital,1
Unisys stock price target raised to $21 from $18 at Sidoti & Co.,1
UnitedHealth stock price target raised to $338 from $303 at CFRA,1
Upgrades 11/25: $ARWR $CACI $CF $DECK $DKS $ENR $EQM $ETRN $FE $HAS $HLX $JD $KIM $LYFT $NTR $NVDA $ORAN $PROS $SNAP $WEN $WING $WRI $ZS,1
Upgrades 4/7: $AMT $BHP $BK $CHH $ENI $EQNR $ETR $EXR $FCX $HOLX $HSIC $LOW $LSI $MAR $MAS $MGP $MHK $MXL $NGG $NWE… https://t.co/jXZNb22Cwb,1
Vertex Pharmaceuticals stock price target raised to $248 from $240 at BMO Capital,1
Vertical Research expects Allison Transmission to break out,1
Voyager Therapeutics started at outperform with $26 stock price target at Oppenheimer,1
Walt Disney stock price target raised to $143 from $141 at Imperial Capital,1
"Wells Fargo analyst Dori Kesten lifted her rating on Marriott $MAR to overweight, noting that the hotel chain's sha… https://t.co/9TLXzYZjUs",1
Wells still bullish on T-Mobile after unsurprising CEO change,1
Westlake Chemical stock price target raised to $65 vs. $64 at BofA Merrill Lynch,1
WestRock stock price target raised to $48 from $42 at BofA Merrill Lynch,1
WestRock upgraded to buy from neutral at BofA Merrill Lynch,1
Why Credit Suisse Sees the S&P 500 Gaining 10% in 2020,1
Williams Cos. initiated as buy with $27 price target at SunTrust Robinson Humphrey,1
"Workday added to Goldman's conviction list, stock gains",1
Zendesk stock price target raised to $85 from $75 at Stifel Nicolaus,1
Zendesk targets raised after 'solid' results,1
$LB - MKM Partners puts a number on Victoria's Secret https://t.co/VSzHLqLBgE,0
$WING - Baird returns to Wingstop bull camp https://t.co/KfPaweOVgo,0
Analysts React To FCC Decision On Intelsat C-Band Spectrum Auction,0
Arex Capital ramps up pressure on Zagg,0
Aviation Capital Group Assigned ‘Baa2’ Rating by Moody’s https://t.co/kEKxNfJEgZ https://t.co/5hasUcG1ON,0
"Benzinga's Top Upgrades, Downgrades For December 17, 2019",0
"Benzinga's Top Upgrades, Downgrades For November 25, 2019",0
BRP Group started at hold with $18 stock price target at Jefferies,0
"BTIG resumes coverage on range of healthcare stocks, neutral on AbbVie",0
Bull camp empty on Sally Beauty,0
CA$10.60 - That's What Analysts Think Vecima Networks Inc. Is Worth After These Results,0
"Chicken Soup for the Soul Entertainment, Inc. Third-Quarter Results: Here's What Analysts Are Forecasting For Next Year",0
"Citron Research, owned by the prominent short seller Andrew Left, placed a $5 price target on $PTON  https://t.co/a5WT4knuVf",0
"Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z",0
GDS Holdings Limited Just Released Its Third-Quarter Earnings: Here's What Analysts Think,0
Global Automotive Tensioner Market 2019-2023 | Growing Adoption of Start-Stop System to Boost Growth | Technavio… https://t.co/xST0VP6IgS,0
"Here are the biggest analyst calls of the day: Johnson & Johnson, Canopy Growth, Intelsat & more",0
"Here are the biggest analyst calls of the day: Netflix, Nvidia, Lyft, Molson Coors, Snap & more",0
"Here are the biggest analyst calls of the day: Netflix, Nvidia, Lyft, Molson Coors, Snap & more https://t.co/jzxbhHJwOu",0
II-Vi Inc. initiated as neutral at Susquehanna,0
LivePerson started at neutral with $40 stock price target at J.P. Morgan,0
Miller Value Partners Likes These Two Stocks; Bearish on One,0
MKM Partners puts a number on Victoria's Secret,0
Morgan Stanley has a new favorite pick in the chip space,0
MPLX initiated as hold with $28 price target at SunTrust Robinson Humphrey,0
Oppenheimer calls out transformation of big-box retailer,0
"Pipestone Energy Corp. Just Reported, And Analysts Assigned A CA$2.55 Price Target",0
Royal Caribbean Cruises Ltd. Full-Year Results Just Came Out: Here's What Analysts Are Forecasting For Next Year,0
"Spirit Airlines, Inc. Just Released Its Full-Year Results And Analysts Are Updating Their Estimates",0
"Stock Market Update: NVIDIA shares upgraded, Netflix downgraded",0
TJX Q3 FactSet consensus 66 cents,0
"Top Analyst Upgrades and Downgrades: AbbVie, Biogen, Boeing, Etsy, Gilead, GoPro, Micron, Newmont, Peloton, Pfizer, Valero, Zynga and More",0
Twilio Inc. Full-Year Results Just Came Out: Here's What Analysts Are Forecasting For Next Year,0
Upgrades 2/4: $AMAL $CM $CMCSA $ELF $GDOT $LFUS $MLI $RRR $TD $TXRH $VLY $WW Downgrades 2/4: $ABG $AWK $CHKP $DEO… https://t.co/xscOdKUhfo,0
US$50.08: That's What Analysts Think Weibo Corporation Is Worth After Its Latest Results,0
Valaris started at hold with $4 stock price target at Deutsche Bank,0
William Blair sees rivals pressing Viasat,0
Aggressive Fed boost fails to stop sell-off #Samp;P500 #economy #MarketScreener https://t.co/p8lniQQTZt https://t.co/VsHuUI8mgj,2
Bank of Ireland cuts key profit target as low rates take toll https://t.co/pWzgfDXDm3,2
